DOC_ID,REVIEW_TEXT,preprocessed_text,VERIFIED_PURCHASE,review_word_count,LABEL,label_num
1,"When least you think so, this product will save the day. Just keep it around just in case you need it for something.",least think product save day keep around case need someth,N,23,fake,1
2,Lithium batteries are something new introduced in the market there average developing cost is relatively high but Stallion doesn't compromise on quality and provides us with the best at a low cost.<br />There are so many in built technical assistants that act like a sensor in their particular forté. The battery keeps my phone charged up and it works at every voltage and a high voltage is never risked.,lithium batteri someth new introduc market averag develop cost rel high stallion compromis qualiti provid us best low cost br mani built technic assist act like sensor particular fort batteri keep phone charg work everi voltag high voltag never risk,Y,69,fake,1
3,"I purchased this swing for my baby. She is 6 months now and has pretty much out grown it. It is very loud and doesn't swing very well. It is beautiful though. I love the colors and it has a lot of settings, but I don't think it was worth the money.",purchas swing babi 6 month pretti much grown loud swing well beauti though love color lot set think worth money,N,52,fake,1
4,I was looking for an inexpensive desk calcolatur and here it is. It works and does everything I need. Only issue is that it tilts slightly to one side so when I hit any keys it rocks a little bit. Not a big deal.,look inexpens desk calcolatur work everyth need issu tilt slightli one side hit key rock littl bit big deal,N,44,fake,1
5,"I only use it twice a week and the results are great. I have used other teeth whitening solutions and most of them, for the same results I would have to use it at least three times a week. Will keep using this because of the potency of the solution and also the technique of the trays, it keeps everything in my teeth, in my mouth.",use twice week result great use teeth whiten solut result would use least three time week keep use potenc solut also techniqu tray keep everyth teeth mouth,N,66,fake,1
6,I'm not sure what this is supposed to be but I would recommend that you do a little more research into the culture of using pipes if you plan on giving this as a gift or using it yourself.,sure suppos would recommend littl research cultur use pipe plan give gift use,N,39,fake,1
7,"Pleased with ping pong table. 11 year old and 13 year old having a blast, plus lots of family entertainment too. Plus better than kids sitting on video games all day. A friend put it together. I do believe that was a challenge, but nothing they could not handle",pleas ping pong tabl 11 year old 13 year old blast plu lot famili entertain plu better kid sit video game day friend put togeth believ challeng noth could handl,N,49,fake,1
8,"Great vitamin C serum... I really like the oil feeling, not too sticky. I used it last week on some of my recent bug bites and it helps heal the skin faster than normal.",great vitamin c serum realli like oil feel sticki use last week recent bug bite help heal skin faster normal,Y,34,fake,1
9,"I've used tide pods laundry detergent for many years,its such a great detergent to use having a nice scent and leaver the cloths smelling fresh.",use tide pod laundri deterg mani year great deterg use nice scent leaver cloth smell fresh,N,25,fake,1
10,"Everybody wants to fall for their promises. But this is a relatively unheard of brand, some even say a non existant company. Look at how amateur their labels and products are. You have to ask yourself if you would trust this kind of amateur stuff? No way! Don't waste your money.",everybodi want fall promis rel unheard brand even say non exist compani look amateur label product ask would trust kind amateur stuff way wast money,N,51,fake,1
11,Unfortunately they didn't work for me. They made me sick and throw up once of the two times I tried them,unfortun work made sick throw two time tri,N,21,fake,1
12,"This kettle is a gift for my daughter. She said that it is easy to use. She likes the design of it, so nice and neat.",kettl gift daughter said easi use like design nice neat,N,26,fake,1
13,"I love this tumbler! Keeps drinks warm or cold for a good period of time, and its very sturdy. I get complements on how sleek it looks all the time, especially because it doesnt leave fingerprints. Highly recommend. Only suggestion when washing the lid, be sure to shake it and dry well to prevent dripping when the lid is on the tumbler.",love tumbler keep drink warm cold good period time sturdi get complement sleek look time especi doesnt leav fingerprint highli recommend suggest wash lid sure shake dri well prevent drip lid tumbler,N,62,fake,1
14,"Only giving this 3 stars because it is so cheap. Has a very mild sedative effect, other than that it's pretty useless for stress/anxiety/panic attacks. Save your money ad get some ZenRx. Night and day difference.[[ASIN:B00HBGBRY4 ZenRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood, increase relaxation, and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]",give 3 star cheap mild sed effect pretti useless stress anxieti panic attack save money ad get zenrx night day differ asin b00hbgbry4 zenrx dietari supplement reduc symptom anxieti stress depress panic attack boost mood increas relax beat anxieti kava kava 5 htp theanin gaba money back guarante,N,69,fake,1
15,"I bought 2 of these in brown for my island. The hydraulic mechanism looks as though it might fail with over use, but otherwise, I really like them. The color is accurate, as is the description. There is some padding, but not much. Definitely not a chair that you would lounge around in, but great for a bar/counter in the kitchen.",bought 2 brown island hydraul mechan look though might fail use otherwis realli like color accur descript pad much definit chair would loung around great bar counter kitchen,N,61,fake,1
16,wonderful headphones had them now for 5 months and works great also great price and the sound is very clear and loud and soft the the ears love my headphones not to mention that they are sony,wonder headphon 5 month work great also great price sound clear loud soft ear love headphon mention soni,N,37,fake,1
17,"Video quality if superb, fits just fine, looks like a real mirror (I believe they enhanced this), my only gripe is I wish they put the cameras not side by side, but one on one side, the other on the other side. I only say this because due to where the left camera is place, there is wasted recording room when you start to turn it towards the driver side. Otherwise very happy with this so far.",video qualiti superb fit fine look like real mirror believ enhanc gripe wish put camera side side one one side side say due left camera place wast record room start turn toward driver side otherwis happi far,Y,77,fake,1
18,"As sling shots go, this is good enough for my purposes. Though, I would have preferred for the handle to be slimmer for better grip.",sling shot go good enough purpos though would prefer handl slimmer better grip,N,25,fake,1
19,"just to be fair, i really believe that this is a great slicer , and the idea was there, but unfortunately there are tricks when using this spiral slicer, i mean manual or something would have been helpful.<br /><br />I'm not saying something negative about this slicer because it does work, but however it did it took me almost a week in trying to learn how to use this slicer in cutting different kinds of vegetable.<br />the price i may say is fair, but i do wish that there were manuals in every box in showing us how to use this slicer properly.",fair realli believ great slicer idea unfortun trick use spiral slicer mean manual someth would help br br say someth neg slicer work howev took almost week tri learn use slicer cut differ kind veget br price may say fair wish manual everi box show us use slicer properli,Y,103,fake,1
20,These tablets are especially helpful if you use the Secure dental adhesive.<br />I bought this stuff for my father. and he was satisfied with this.,tablet especi help use secur dental adhes br bought stuff father satisfi,Y,25,fake,1
21,Looking decent as same shown in photos Thank You amazon .I saved cost as paint of this type is very costly and as this is digitally print looking decent.,look decent shown photo thank amazon save cost paint type costli digit print look decent,N,29,fake,1
22,"I find that the older I get, the harder it is to lose weight....but I've gotten great results taking garcinia this month. I take it before breakfast, lunch and supper. I don't take the one after supper because I don't tend to eat much in the late evenings. I find it really cuts my down my appetite. I've lost 8 lbs this month, which is WAY more than I've lost in a long time.",find older get harder lose weight gotten great result take garcinia month take breakfast lunch supper take one supper tend eat much late even find realli cut appetit lost 8 lb month way lost long time,Y,74,fake,1
23,"I have had my camera for about 2 weeks now. The pictures are great, it is so easy to use. I love it!!",camera 2 week pictur great easi use love,N,23,fake,1
24,"It is highly recommended not to buy this product.  I took the suggested dosage for a week and felt nothing, no extra energy, no loss of appetite, no pounds lost.",highli recommend buy product took suggest dosag week felt noth extra energi loss appetit pound lost,Y,30,fake,1
25,"The actual power supply is good, but the cable harness's had to be completely taken apart and re-oriented to avoid a birds nest of backwards wiring in tower. It's like they didn't test it to see if it works.",actual power suppli good cabl har complet taken apart orient avoid bird nest backward wire tower like test see work,N,39,fake,1
26,"My personal physician recommended it and I bought at goo.gl/wa7AI ,with $10 off and free samples. Great stuff!!!!!<br /><br />I was told the enormous benifit of Oregano: it is one of the most powerful healing herbs and natural anti-biotics ever studied. It has been found in a recent study to be significantly better than all of the 18 currently used anti-biotics in the treatment of MRSA staph infections. The strong phenol anti-oxidants destroy pathogenic bacteria, viruses and yeasts. This super herb is very rich in anti-oxidant phytochemical flavonoids and phenolic acids. It is the third highest herb in oxygen radical absorbancy capacity (ORAC) with an impressive score of 200,129. The USDA ranks oregano's antioxidant capacity anywhere from 3 to 20 times higher than any other herb.<br /><br />You can see 2 bottles Oreganol P73 in my fridge. Wowww ... this oregano oil is just the best, it works miraculously! I had discomfort and dryness in my throat, then I took a couple drops of this oil in a tablespoon of water and drank it. This oil healed and soothed my throat almost instantly, and feel great up to now. Another time I felt my body so aching, then I took this oil in the same way - it set me free and felt great just in seconds. This oil is fantastic!!! I also have used oregano as emergency medicine to completely eliminate digestive distress after eating what I found out was contaminated food.",person physician recommend bought goo gl wa7ai 10 free sampl great stuff br br told enorm benifit oregano one power heal herb natur anti biotic ever studi found recent studi significantli better 18 current use anti biotic treatment mrsa staph infect strong phenol anti oxid destroy pathogen bacteria virus yeast super herb rich anti oxid phytochem flavonoid phenol acid third highest herb oxygen radic absorb capac orac impress score 200 129 usda rank oregano antioxid capac anywher 3 20 time higher herb br br see 2 bottl oreganol p73 fridg wowww oregano oil best work miracul discomfort dryness throat took coupl drop oil tablespoon water drank oil heal sooth throat almost instantli feel great anoth time felt bodi ach took oil way set free felt great second oil fantast also use oregano emerg medicin complet elimin digest distress eat found contamin food,N,243,fake,1
