DOC_ID,REVIEW_TEXT,preprocessed_text,VERIFIED_PURCHASE,review_word_count,LABEL,label_num
15476,"The EAS AdvantEDGE is a low carb sport drink.  I prefer the strawberry flavor over all of the others (although the vanilla and chocolate ones are good, also).  This packs in vitamins and nutrients and works well for low carb diets or if you're training.  The only reason I didn't give it 5 stars is that you'll need to brush your teeth or have some gum handy after you drink it - sometimes it gives me halitosis.  Not so bad that I would stop buying it, though. I've been using this product for 3+ years and keep going back to it over Muscle Milk (horrible aftertaste) and other generic options.",ea advantedg low carb sport drink prefer strawberri flavor other although vanilla chocol one good also pack vitamin nutrient work well low carb diet train reason give 5 star need brush teeth gum handi drink sometim give halitosi bad would stop buy though use product 3 year keep go back muscl milk horribl aftertast gener option,Y,110,real,0
6742,Smaller size but gives off bright light.<br />It takes three AA batteries.<br />You turn it on and on by pulling it open (up) and off by closing (down) it<br />Its water resistant<br />I highly recommend this lantern,smaller size give bright light br take three aa batteri br turn pull open close br water resist br highli recommend lantern,N,37,fake,1
2276,"A few months ago I had just gotten the Xbox One and wanted a quality headset to go with it. I owned Turtle Beaches before with my Xbox 360 and decided to be a returning customer.<br /><br />My old headset was comfortable and worked well, I loved the bass you could hear with them.<br /><br />When I tried these I was definitely unhappy... The speakers would make an unbearable noise that sounded like rattling most of the time, even at lower volumes. If this wasn't bad enough, one speaker kept cutting out. I had to bang on the side to get it to start working again.<br /><br />All in all, I didn't enjoy these and can't imagine why they are charging so much for them.<br /><br />After this depressing experience I did some serious research and found a headset I absolutely LOVE.<br /><br />It's been over a month and I can't find anything to complain about. The sound and bass is great and I can wear them for hours on end without any discomfort.<br /><br />I got them on Amazon actually -------------&#62; http://amzn.to/1qwkjUH<br /><br />Even if they aren't the ones for you, I hope I could help share my story with this pair.",month ago gotten xbox one want qualiti headset go own turtl beach xbox 360 decid return custom br br old headset comfort work well love bass could hear br br tri definit unhappi speaker would make unbear nois sound like rattl time even lower volum bad enough one speaker kept cut bang side get start work br br enjoy imagin charg much br br depress experi seriou research found headset absolut love br br month find anyth complain sound bass great wear hour end without discomfort br br got amazon actual 62 http amzn 1qwkjuh br br even one hope could help share stori pair,N,203,fake,1
18516,"the product sent to me is not the real one, it is fake. and some of the components are broken. I have many models of Bandai. This one disappoints me.",product sent real one fake compon broken mani model bandai one disappoint,Y,30,real,0
6228,"I love this case! I've got a pair of BeoPlay H6 Headphones, and this case is a PERFECT fit! Not just size-wise, but the headphones look great in the case. The the premium feel of the microsuede and memory foam lining just adds to the whole experience. I also love the removable zippered pouch--super useful for adaptors, cables, etc. Exterior-wise the case is really solid and durable, but that doesn't stop it from looking really sleek with the carbon-fiber looking finish. Add the handle, loop, and cool laser engraved carabiner, and this case is just really slick and well thought out.",love case got pair beoplay h6 headphon case perfect fit size wise headphon look great case premium feel microsued memori foam line add whole experi also love remov zipper pouch super use adaptor cabl etc exterior wise case realli solid durabl stop look realli sleek carbon fiber look finish add handl loop cool laser engrav carabin case realli slick well thought,N,101,fake,1
18129,"I currently have hundreds of coffee pods trying to find the best.  Finally!  This is without a doubt the very best!  If you like full-bodied, flavorful coffee without the bitter after taste, this is it!  I can even make it at the highest water level and it's still delicious.  Thank you Green Mountain!",current hundr coffe pod tri find best final without doubt best like full bodi flavor coffe without bitter tast even make highest water level still delici thank green mountain,Y,53,real,0
5329,I first learnt about this candle at an advertisement and did not pay much heed to it...but when I finally experienced the item at a friend's place I was so convinced..,first learnt candl advertis pay much heed final experienc item friend place convinc,N,31,fake,1
12817,"We bought this few days back .this is excellent. Specially browser functionality flash support.<br />I can watch Online serials ,Movies anything.<br />You tube and Netflix work too.<br /><br />Its now available with update version 4.3 .",bought day back excel special browser function flash support br watch onlin serial movi anyth br tube netflix work br br avail updat version 4 3,N,36,real,0
16363,Excellent little sound system. I use it as my bathroom radio and I love the quality of both the build and sound.,excel littl sound system use bathroom radio love qualiti build sound,Y,22,real,0
16542,I don't know how I ever got along without these. I just started back playing after a 30 year hietus and I had nicks and scratches on my old guitars. I have put them on every guitar I own now (7).,know ever got along without start back play 30 year hietu nick scratch old guitar put everi guitar 7,Y,41,real,0
2010,It seems to be holding on really well to my husbands boots.  It did make them look like they were muddy (it looks like truck bedliner) and I would have prefered to use it past seven days after opening.  Other than that it was awesome.,seem hold realli well husband boot make look like muddi look like truck bedlin would prefer use past seven day open awesom,Y,45,fake,1
15859,"Does not work well with metal doors. Magnets get stuck on door if children / pets run through it, and stay open, otherwise well worth the $$.",work well metal door magnet get stuck door children pet run stay open otherwis well worth,Y,27,real,0
17213,VERY REASONABLE PRICED<br />REPLACEMENT BATTERIES.<br />GOOD TO KNOW THEY ARE<br />ALWAYS AVAILABLE. THEY<br />WORK FINE AND N0W HAVE<br />A NEW HOME.<br />THANKS.,reason price br replac batteri br good know br alway avail br work fine n0w br new home br thank,Y,22,real,0
